Product Attribute,Grouping,Attribute Level,Bundle Attribute,Notes,,Mutable,Values,,Definition,SKU versus Product,User vs. System,Notes,Product Group Attribute,Example - Sub ONL,Example - TB Ads,Level,,,,,,,,,,,,,,Product Group,Individual Product
Salesforce SKU ID,Identifier,???,,,,No,,,,,System generated,,No,,,Product Level,,,,,,,,,,,,,,,
Oracle SKU ID,Identifier,???,,,,No,,,,,System generated,Product level,No,,,Product Level,,,,,,,,,,,,,,,
MSFT SKU ID,Identifier,???,,,,No,,,,,System generated,Product level,No,,,Product Level,,,,,,,,,,,,,,,
Dynamics SKU ID,Identifier,???,,,,No,,,,,System generated,,No,,,,,,,,,,,,,,,,,,
Apple App Id,,???,,,,,,,,,,,,,,Product Group,,,,,,,,,,,,,,,
Apple Bundle Id,,???,,,,,,,,,,,,,,Product Group,,,,,,,,,,,,,,,
Google App Id,,???,,,,,,,,,,,,,,Product Group,,,,,,,,,,,,,,,
Requires Conversion Tracking,Tracking,???,,,,,"""requiresConversionTracking"": true",,,,,,No,,,Product Group,,,,,,,,,,,,,,,
Languages,,Don't need,,Will automatically translate to all languages supported by LinkedIn,,Yes,,,,,User input,,Yes,All,,,,,,,,,,,,,,,,,
Checkout Currency,,Don't need,,How is the currency that you see in checkout set? ,,No,"Derive from member profile country 
End-user selected",,,,System generated,We should be able to view member profile country to currency,Yes,Derived from member profile country,,,,,,,,,,,,,,,,,
Billing Method,Billing,Don't need,,,,No,"Pay upfront
Pay on specified billing frequency
Pay on delivery of service",,,,System generated,based on product line /billing model combination,Yes,Pay upfront,,,,,,,,,,,,,,,,,
Published Timestamp,Time,Don't need,,,,No,,,"When the product became available for customers (e.g., made public or launched).",,System generated,,No,2025-04-29T15:05:00Z,,,,,,,,,,,,,,,,,
Last Subscribed Timestamp,Time,Don't need,,,,No,,,When the product was most recently subscribed to (indicates activity or decay).,,System generated,,No,2025-04-29T15:05:00Z,,,,,,,,,,,,,,,,,
Last Edited Timestamp,Time,Don't need,,,,No,,,"When the product details (name, description, features, etc.) were last modified.",,System generated,,No,2025-04-29T15:05:00Z,,,,,,,,,,,,,,,,,
First Subscribed Timestamp,Time,Don't need,,,,No,,,When the product got its first paying customer (useful for product-market fit or analytics).,,System generated,,No,2025-04-29T15:05:00Z,,,,,,,,,,,,,,,,,
Deprecated Timestamp,Time,Don't need,,,,No,,,When the product was removed from sale or marked as legacy.,,System generated,,No,2025-04-29T15:05:00Z,,,,,,,,,,,,,,,,,
Created Timestamp,Time,Don't need,,,,No,,,When the product was first created in LBP system.,,System generated,,No,2025-04-29T15:03:39Z,,,,,,,,,,,,,,,,,
Can transfer purchase to different admin,Billing,Don't need,,,,,"Yes
No",,,,,,Yes,,,,,,,,,,,,,,,,,,
"
  }
 },
 ""skipLearningWelcomeEmail"": true,
 ""hideChildren"": true,
 ""family"": ""jss"",
 ""fulfillBeforeSettlement"": true,
 ""supportsBillingAccountUpdater"": true
}",,Don't need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoldTo Derivation,Billing,Don't need,,,,No,"BillTo is the SoldTo customer
ShipTo is the SoldTo customer
Define SoldTo separate from BillTo and ShipTo",,,Product (Determined by Product),User input,,Yes,BillTo is the SoldTo customer,,,,,,,,,,,,,,,,,
Settlement Currency ,,Don't need,,,,No,,,,--,User input,,No,"USD for LI NAMER
EUR for LI EMEA
INR for LI INDIA
USD for LI APAC",,,,,,,,,,,,,,,,,
Discount Model,Offer,Don't need,,,,No,"Automated
Sales discretionary discount
Custom Enterprise Pricing
Loyalty / Term-based discount
Flat-rate Group Bundle discount - Sell bundles of seats for a fixed total price, regardless of exact seat count.
Volume-based pricing discount 
Tiered pricing discount - Customers get a discount based on the number of seats purchased, usually in brackets.",,,,User input,,Yes,Automated,,,,,,,,,,,,,,,,,
Product Folder Name,,Folder,,,,Yes,[Text],,,,User input,,Yes,Premium Generic Products,,Product Group Level,,,,,,,,,,,,,,,
Owner,,General - All levels,General - All levels,,,Yes,,,,,User input,,Yes,Ora Levit,,Product Group Level,,,,,,,,,,,,,,,
Product Status,Identifier,General - All levels,General - All levels,,,Yes,"Draft / In Development - Exists in the product catalog or billing system but isn’t exposed to customers. Pricing, features, and metadata can be edited freely.
Beta / Limited Availability - Exists in the product catalog or billing system and can be purchased. May be missing integrations downstream for scalable revenue recognition.
Active / Live - Product is tied into billing, provisioning, support, and analytics systems.
Deprecated / Legacy - Existing customers can use it, but new customers can’t buy it.
Inactive - Existing users can use it but cannot renew. Renewal will transition to another product. 
Retired - No active subscription, contract, account associated with it. ",,,,System generated,,No,Active,,,,,,,,,,,,,,,,,
Post-purchase Landing URL,,Product,"Product, SKU",Only available on desktop for ONL. This does not exist for Field or Mobile. ,,Yes,URL,,,,User input,,No,Admin Center,,Product Group,,,,,,,,,,,,,,,
Is Primary Product in Bundle,,Don't need,"Product, SKU",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seat Type,,Product,Product,,,No,"Single seat
Multi-seat Fixed seat - Seats are tied to specific users.
Multi-seat Floating seat - Limited number of simultaneous users, but anyone in the organization can log in.
Multi-seat Site / Enterprise - Unlimited users within a company or site",,,,User input,Product Level Attribute,No,Single seat,,Product Level,,,,,,,,,,,,,,,
Product / Bundle Name,,Product,Product,"Display name, translated, will print on the invoice/receipt/order forms. ",,Yes,[Text],,,,User input,,No,Premium_Business,,Product Level,,,,,,,,,,,,,,,"Unique
Char limit: ?
Text, translated"
Product / Bundle Description,,Product,Product,,,Yes,,,,,User input,,No,"Get exclusive access to insights, search tools, and direct messaging to reach the right people to grow your business.",,Product Level,,,,,,,,,,,,,,,"Unique 
Char limit: ?
Text, translated"
